version,4,4
counter,							engine_state,							temperature,							engine_rpm,							pump_vol,							radio_vol,							engine_vol,							pressure,							rc_input1,							rc_input2,							speed,							pump_st,							pump_rpm,							error_coe,							current,							tcu_temp,							ecu_temp,							thrust,							fuel_temp,							fuel_press,							combustion_press
59246,6,250,5250,0,0,1540,101000,920,0,0,0,0,0,0,0,0,0,0,0,0
63329,5,650,45100,4520,0,0,0,0,0,0,0,0,0,10,34,40,0,0,0,0
63333,5,640,44700,4590,0,0,0,0,0,0,0,0,0,10,34,40,0,0,0,0
63335,5,645,44700,4590,0,0,0,0,0,0,0,0,0,10,34,40,0,0,0,0
63337,5,660,44800,4580,0,0,0,0,0,0,0,0,0,10,34,40,0,0,0,0
63339,5,670,44650,4500,0,0,0,0,0,0,0,0,0,10,36,40,0,0,0,0
63341,5,670,44200,4550,0,0,0,0,0,0,0,0,0,10,36,40,0,0,0,0
63343,5,675,44350,4520,0,0,0,0,0,0,0,0,0,9,36,40,0,0,0,0
67427,6,260,3800,0,0,0,0,0,0,0,0,0,0,0,30,38,0,0,0,0
67429,6,260,3500,0,0,0,0,0,0,0,0,0,0,0,30,38,0,0,0,0
67433,6,255,2850,0,0,0,0,0,0,0,0,0,0,0,32,38,0,0,0,0
67435,6,255,2600,0,0,0,0,0,0,0,0,0,0,0,32,38,0,0,0,0
67439,6,255,2150,0,0,0,0,0,0,0,0,0,0,0,32,38,0,0,0,0
71526,4,375,23600,3330,0,1580,67190,1100,2020,0,2,2800,0,0,32,38,0,0,0,0
71528,4,380,25700,3800,0,1580,67180,1100,2020,0,2,3450,0,0,32,38,0,0,0,0
71530,4,390,28400,3800,0,1600,67170,1100,2020,0,2,3450,0,0,32,38,0,0,0,0
71532,4,395,31700,4330,0,1600,67160,1100,2020,0,2,4300,0,0,0,0,0,0,0,0
71534,5,400,35900,4320,0,1600,67150,1100,2020,0,2,4250,0,0,0,0,0,0,0,0
71535,5,405,38250,4320,0,1600,67150,1100,2020,0,2,4250,0,16,34,40,0,0,0,0
75620,6,210,2600,0,0,1640,67240,1000,1500,0,0,0,0,16,34,40,0,0,0,0
75622,6,205,2800,0,0,1640,67240,1000,1500,0,0,0,0,16,34,40,0,0,0,0
75624,6,200,3000,0,0,1640,67240,1000,1500,0,0,0,0,16,34,40,0,0,0,0
75626,6,195,3200,0,0,1640,67240,1000,1500,0,0,0,0,0,0,0,0,0,0,0
75628,6,195,3350,0,0,1640,67240,1000,1500,0,0,0,0,0,0,0,0,0,0,0
75629,6,190,3400,0,0,1640,67240,1000,1500,0,0,0,0,14,28,38,0,0,0,0
79189,6,105,2400,0,0,0,0,0,0,0,0,0,0,14,30,40,0,0,0,0
79190,6,100,2600,0,0,1640,66920,1000,1500,0,0,0,0,14,30,40,0,0,0,0
79191,6,100,2700,0,0,1640,66920,1000,1500,0,0,0,0,11,30,40,0,0,0,0
79192,6,100,2800,0,0,1640,66920,1000,1500,0,0,0,0,11,30,40,0,0,0,0
79193,6,100,2850,0,0,1640,66920,1000,1500,0,0,0,0,10,30,40,0,0,0,0
79194,6,100,2900,0,0,1640,66920,1000,1500,0,0,0,0,10,30,40,0,0,0,0
79195,6,95,2950,0,0,1640,66920,1000,1500,0,0,0,0,9,30,40,0,0,0,0
79196,6,95,3000,0,0,1640,66920,1000,1500,0,0,0,0,9,30,40,0,0,0,0
79197,6,95,3000,0,0,1640,66920,1000,1500,0,0,0,0,9,30,40,0,0,0,0
79198,6,95,3050,0,0,1640,66920,1000,2000,0,0,0,0,9,30,40,0,0,0,0
79199,6,95,3100,0,0,1640,66920,1000,2000,0,0,0,0,10,30,40,0,0,0,0
79200,2,95,3100,0,0,1640,66920,1000,2000,0,0,0,0,10,30,40,0,0,0,0
79201,2,95,3150,0,0,1640,66920,1000,2000,0,0,0,0,67,30,40,0,0,0,0
79202,2,95,3150,0,0,1620,66920,1000,2000,0,0,0,0,67,30,40,0,0,0,0
79203,2,95,3200,0,0,1620,66920,1000,2000,0,0,0,0,50,30,40,0,0,0,0
79204,2,95,3200,0,0,1620,66920,1000,2000,0,0,0,0,50,30,40,0,0,0,0
79205,2,95,3200,0,0,1620,66920,1000,2000,0,0,0,0,128,30,40,0,0,0,0
79206,2,95,3250,0,0,1600,66920,1000,2000,0,0,0,0,128,30,40,0,0,0,0
79207,2,95,3250,0,0,1600,66920,1000,2000,0,0,0,0,95,30,40,0,0,0,0
79208,2,95,3300,0,0,1600,66920,1000,2000,0,0,0,0,95,30,40,0,0,0,0
79209,2,95,3300,0,0,1600,66920,1000,2000,0,0,0,0,75,30,40,0,0,0,0
79210,2,95,3300,0,0,1600,66920,1000,2000,0,0,0,0,75,30,40,0,0,0,0
79211,2,90,3350,0,0,1600,66920,1000,2000,0,0,0,0,69,30,40,0,0,0,0
79212,2,90,3350,4400,0,1600,66920,1000,2000,0,2,1100,0,69,30,40,0,0,0,0
79213,2,90,3400,4400,0,1600,66920,1000,2000,0,2,1100,0,76,30,40,0,0,0,0
79214,2,95,3500,4400,0,1600,66920,1000,2000,0,2,3700,0,76,30,40,0,0,0,0
79215,2,100,3550,4400,0,1600,66920,1000,2000,0,2,3700,0,75,30,40,0,0,0,0
79216,2,110,3600,4400,0,1600,66920,1000,2000,0,2,3700,0,75,30,40,0,0,0,0
79217,2,120,3650,4400,0,1600,66920,1000,2000,0,2,3700,0,74,30,40,0,0,0,0
79218,2,130,3700,4400,0,1600,66920,1000,2000,0,2,3700,0,74,30,40,0,0,0,0
79219,2,145,3750,4400,0,1600,66920,1000,2000,0,2,3700,0,73,30,40,0,0,0,0
79220,2,160,3800,4400,0,1600,66920,1000,2000,0,2,3700,0,73,30,40,0,0,0,0
79221,2,175,3850,4400,0,1600,66920,1000,2000,0,2,3700,0,72,30,40,0,0,0,0
79222,3,190,3900,4400,0,1600,66920,1000,2000,0,2,3750,0,72,30,40,0,0,0,0
79223,3,205,3950,4400,0,1600,66920,1000,2000,0,2,3750,0,71,30,40,0,0,0,0
79224,3,225,4000,3530,0,1600,66920,1000,2000,0,2,3250,0,71,30,40,0,0,0,0
79225,3,240,4050,2660,0,1600,66920,1000,2000,0,2,3250,0,64,30,40,0,0,0,0
79226,3,260,4050,1500,0,1600,66920,1000,2000,0,2,950,0,64,30,40,0,0,0,0
79227,3,280,4100,1500,0,1600,66920,1000,2000,0,2,950,0,62,30,40,0,0,0,0
79228,3,295,4100,1500,0,1600,66920,1000,2000,0,2,650,0,62,30,40,0,0,0,0
79229,3,315,4250,1500,0,1600,66920,1000,2000,0,2,650,0,77,30,40,0,0,0,0
79230,3,335,4550,1500,0,1600,66920,1000,2000,0,2,600,0,77,30,40,0,0,0,0
79231,3,355,4850,1500,0,1600,66920,1000,2000,0,2,600,0,83,30,40,0,0,0,0
79232,3,375,5050,1500,0,1600,66920,1000,2000,0,2,650,0,83,30,40,0,0,0,0
79233,3,395,5250,1500,0,1600,66920,1000,2000,0,2,650,0,78,30,40,0,0,0,0
79234,3,415,5450,1500,0,1600,66920,1000,2000,0,2,650,0,78,30,40,0,0,0,0
79235,3,435,5600,1500,0,1600,66920,1000,2000,0,2,650,0,75,30,40,0,0,0,0
79236,3,460,5700,1500,0,1600,66920,1000,2000,0,2,650,0,75,30,40,0,0,0,0
79237,3,480,5850,1500,0,1600,66920,1000,2000,0,2,650,0,75,30,40,0,0,0,0
79238,3,505,6000,1500,0,1600,66920,1000,2000,0,2,650,0,75,30,40,0,0,0,0
79239,3,530,6150,1500,0,1600,66920,1000,2000,0,2,650,0,73,30,40,0,0,0,0
79240,3,550,6300,1500,0,1600,66910,1000,2000,0,2,650,0,73,30,40,0,0,0,0
79241,3,570,6400,1500,0,1600,66910,1000,2000,0,2,650,0,72,30,40,0,0,0,0
79242,3,595,6550,1500,0,1600,66910,1000,2000,0,2,650,0,72,30,40,0,0,0,0
79243,3,615,6700,1500,0,1600,66910,1000,2000,0,2,650,0,72,30,40,0,0,0,0
79244,4,705,6850,1800,0,1600,66910,1000,2000,0,2,900,0,72,30,40,0,0,0,0
79245,4,720,7100,1800,0,1600,66910,1000,2000,0,2,900,0,45,30,40,0,0,0,0
79246,4,735,7300,1800,0,1620,66910,1000,2000,0,2,950,0,45,30,40,0,0,0,0
79247,4,750,7600,1800,0,1620,66910,1000,2000,0,2,950,0,44,30,40,0,0,0,0
79248,4,765,7900,2020,0,1620,66910,1000,2000,0,2,1100,0,44,30,40,0,0,0,0
79249,4,775,8100,2020,0,1620,66910,1000,2000,0,2,1100,0,35,30,40,0,0,0,0
79250,4,790,8400,2020,0,1620,66910,1000,2000,0,2,1150,0,35,30,40,0,0,0,0
79251,4,805,8700,2020,0,1620,66910,1000,2000,0,2,1150,0,35,32,40,0,0,0,0
79252,4,820,8950,2020,0,1620,66900,1000,2000,0,2,1150,0,35,32,40,0,0,0,0
79253,4,830,9200,2020,0,1620,66900,1000,2000,0,2,1150,0,36,32,40,0,0,0,0
79254,4,845,9500,2020,0,1620,66900,1000,2000,0,2,1150,0,36,32,40,0,0,0,0
79255,4,855,9750,2020,0,1620,66900,1000,2000,0,2,1150,0,37,32,40,0,0,0,0
79256,4,865,10050,2020,0,1620,66900,1000,2000,0,2,1100,0,37,32,40,0,0,0,0
79257,4,875,10350,2020,0,1620,66900,1000,2000,0,2,1100,0,37,32,40,0,0,0,0
79258,4,885,10650,2180,0,1620,66900,1000,2000,0,2,1250,0,37,32,40,0,0,0,0
79259,4,900,10950,2180,0,1620,66900,1000,2000,0,2,1250,0,37,32,40,0,0,0,0
79260,4,910,11250,2180,0,1620,66890,1000,2000,0,2,1250,0,37,32,40,0,0,0,0
79261,4,920,11600,2180,0,1620,66890,1000,2000,0,2,1250,0,37,30,40,0,0,0,0
79262,4,925,11950,2360,0,1620,66890,1000,2000,0,2,1450,0,37,30,40,0,0,0,0
79263,4,930,12300,2360,0,1620,66890,1000,2000,0,2,1450,0,37,32,40,0,0,0,0
79264,4,935,12750,2360,0,1620,66890,1000,2000,0,2,1450,0,37,32,40,0,0,0,0
79265,4,940,13150,2360,0,1620,66890,1000,2000,0,2,1450,0,37,32,40,0,0,0,0
79266,4,940,13550,2550,0,1620,66890,1000,2000,0,2,1650,0,37,32,40,0,0,0,0
79267,4,940,14000,2550,0,1620,66890,1000,2000,0,2,1650,0,38,32,40,0,0,0,0
79268,4,940,14550,2550,0,1620,66880,1000,2000,0,2,1650,0,38,32,40,0,0,0,0
79269,4,940,15100,2550,0,1620,66880,1000,2000,0,2,1650,0,37,32,40,0,0,0,0
79270,4,940,15650,2750,0,1620,66880,1000,2000,0,2,1850,0,37,32,40,0,0,0,0
79271,4,940,16250,2750,0,1620,66880,1000,2000,0,2,1850,0,35,30,40,0,0,0,0
79272,4,935,16900,2750,0,1620,66880,1000,2000,0,2,1850,0,35,30,40,0,0,0,0
79273,4,935,17550,2750,0,1620,66880,1000,2000,0,2,1850,0,32,30,40,0,0,0,0
79274,4,930,18250,2970,0,1620,66880,1000,2000,0,2,2100,0,32,30,40,0,0,0,0
79275,4,930,19000,2970,0,1620,66880,1000,2000,0,2,2100,0,27,32,40,0,0,0,0
79276,4,925,19750,2970,0,1620,66870,1000,2000,0,2,2150,0,27,32,40,0,0,0,0
79277,4,915,20550,2970,0,1620,66870,1000,2000,0,2,2150,0,23,32,40,0,0,0,0
79278,4,910,21300,3210,0,1620,66870,1000,2000,0,2,2400,0,23,32,40,0,0,0,0
79279,4,905,22200,3210,0,1620,66870,1000,2000,0,2,2400,0,24,30,40,0,0,0,0
79280,4,895,23150,3210,0,1620,66870,1000,2000,0,2,2450,0,24,30,40,0,0,0,0
79281,4,890,24100,3470,0,1620,66870,1000,2000,0,2,2450,0,4,30,40,0,0,0,0
79282,4,880,25150,3470,0,1640,66860,1000,2000,0,2,2850,0,4,30,40,0,0,0,0
79283,4,875,26300,3470,0,1640,66860,1000,2000,0,2,2850,0,4,30,40,0,0,0,0
79284,4,865,27500,3470,0,1640,66860,1000,2000,0,2,2800,0,4,30,40,0,0,0,0
79285,4,855,28750,3740,0,1640,66860,1000,2000,0,2,2800,0,6,30,40,0,0,0,0
79286,4,840,30200,3740,0,1640,66860,1000,2000,0,2,3250,0,6,30,40,0,0,0,0
79287,4,825,31800,3740,0,1640,66860,1000,2000,0,2,3250,0,5,30,40,0,0,0,0
79288,5,815,33350,4040,0,1640,66860,1000,2000,0,2,3300,0,5,30,40,0,0,0,0
79289,5,800,35050,4040,0,1640,66860,1000,2000,0,2,3300,0,6,30,40,0,0,0,0
79290,5,785,37000,4040,0,1640,66850,1000,2000,0,2,3650,0,6,30,40,0,0,0,0
79291,5,775,38850,4030,0,1640,66850,1000,2000,0,2,3650,0,6,30,40,0,0,0,0
79292,5,760,40400,4030,0,1640,66850,1000,2000,0,2,3550,0,6,30,40,0,0,0,0
79293,5,745,41450,4020,0,1640,66850,1000,2000,0,2,3550,0,6,30,40,0,0,0,0
79294,5,730,42000,4020,0,1640,66850,1000,2000,0,2,3650,0,6,30,40,0,0,0,0
79295,5,715,42400,4010,0,1640,66850,1000,2000,0,2,3650,0,6,30,40,0,0,0,0
79296,5,700,42500,4010,0,1640,66840,1000,2000,0,2,3600,0,6,30,40,0,0,0,0
