version,4,4
counter,							engine_state,							temperature,							engine_rpm,							pump_vol,							radio_vol,							engine_vol,							pressure,							rc_input1,							rc_input2,							speed,							pump_st,							pump_rpm,							error_coe,							current,							tcu_temp,							ecu_temp,							thrust,							fuel_temp,							fuel_press,							combustion_press
59246,6,250,5250,0,0,1540,101000,920,0,0,0,0,0,0,0,0,0,0,0,0
63341,5,670,44200,4550,0,1540,101000,920,0,0,0,0,0,10,36,40,0,0,0,0
71535,5,405,38250,4320,0,1540,101000,920,0,0,0,0,0,16,34,40,0,0,0,0
75620,6,210,2600,0,0,1640,67240,1000,1500,0,0,0,0,0,0,0,0,0,0,0
75622,6,205,2800,0,0,1640,67240,1000,1500,0,0,0,0,0,0,0,0,0,0,0
75624,6,200,3000,0,0,1640,67240,1000,1500,0,0,0,0,0,0,0,0,0,0,0
75626,6,195,3200,0,0,1640,67240,1000,1500,0,0,0,0,0,0,0,0,0,0,0
75628,6,195,3350,0,0,1640,67240,1000,1500,0,0,0,0,0,0,0,0,0,0,0
75629,6,190,3400,0,0,1640,67240,1000,1500,0,0,0,0,14,28,38,0,0,0,0
79714,5,610,35100,3480,0,1640,66870,1000,2000,0,2,2800,0,14,28,38,0,0,0,0
79716,5,610,35150,3480,0,1640,66870,1000,2000,0,2,2800,0,14,28,38,0,0,0,0
79718,5,610,35100,3480,0,1640,66870,1000,2000,0,2,2850,0,14,28,38,0,0,0,0
79720,5,610,35050,3480,0,1640,66870,1000,2000,0,2,2800,0,0,0,0,0,0,0,0
79722,5,610,35050,3480,0,1640,66870,1000,2000,0,2,2800,0,0,0,0,0,0,0,0
79726,5,610,35100,3480,0,1640,66870,1000,2000,0,2,2800,0,0,0,0,0,0,0,0
79728,5,610,35100,3480,0,1640,66870,1000,2000,0,2,2850,0,0,0,0,0,0,0,0
87905,5,595,38300,3650,0,1640,66870,1000,2000,0,2,2850,0,5,28,40,0,0,0,0
87907,5,590,38250,3650,0,1640,66870,1000,2000,0,2,2850,0,5,28,40,0,0,0,0
87909,5,590,38100,3650,0,1640,66870,1000,2000,0,2,2850,0,5,28,40,0,0,0,0
87915,5,590,38100,3650,0,0,0,0,0,0,0,0,0,5,28,40,0,0,0,0
88070,5,595,38100,3650,0,1640,66820,1050,2000,0,2,3100,0,5,28,40,0,0,0,0
88071,5,595,38050,3650,0,0,0,0,0,0,0,0,0,5,28,42,0,0,0,0
88072,5,595,38100,3650,0,1640,66820,1050,2000,0,2,3100,0,5,28,42,0,0,0,0
88073,5,595,38100,3650,0,1640,66820,1050,2000,0,2,3100,0,5,28,42,0,0,0,0
88074,5,595,38150,3650,0,1640,66820,1050,2000,0,2,3100,0,5,28,42,0,0,0,0
