version,4,4
counter,							engine_state,							temperature,							engine_rpm,							pump_vol,							radio_vol,							engine_vol,							pressure,							rc_input1,							rc_input2,							speed,							pump_st,							pump_rpm,							error_coe,							current,							tcu_temp,							ecu_temp,							thrust,							fuel_temp,							fuel_press,							combustion_press
59243,5,515,78300,6880,0,0,0,0,0,0,0,0,0,31,32,44,0,0,0,0
67434,6,80,4150,0,0,1500,68060,920,0,0,0,0,0,0,0,0,0,0,0,0
71530,6,80,2900,0,0,1540,101090,920,0,0,0,0,0,0,0,0,0,0,0,0
75617,5,505,79250,7660,0,1540,101090,920,0,0,0,0,0,34,42,40,0,0,0,0
75618,5,505,79000,7320,0,1600,101020,1580,0,0,2,11700,0,34,42,40,0,0,0,0
75619,5,510,78400,7330,0,1600,101020,1580,0,0,2,11700,0,31,42,40,0,0,0,0
75622,5,510,78350,7170,0,1600,101020,1530,0,0,2,11250,0,31,42,40,0,0,0,0
75623,5,510,77350,7360,0,1600,101020,1530,0,0,2,11250,0,32,40,40,0,0,0,0
75629,5,505,76900,7360,0,1600,101020,1530,0,0,2,11250,0,32,40,40,0,0,0,0
75631,5,505,79100,7610,0,1600,101020,1530,0,0,2,11250,0,34,40,40,0,0,0,0
82705,6,75,4250,0,0,0,0,0,0,0,0,0,0,15,48,44,0,0,0,0
82706,6,75,4250,0,0,1600,100480,920,0,0,0,0,0,15,48,44,0,0,0,0
82707,6,75,4250,0,0,1600,100480,920,0,0,0,0,0,15,48,44,0,0,0,0
82708,6,75,4250,0,0,1600,100480,920,0,0,0,0,0,15,48,44,0,0,0,0
82709,6,75,4250,0,0,1600,100480,920,0,0,0,0,0,15,48,44,0,0,0,0
82710,6,75,4250,0,0,1600,100480,920,0,0,0,0,0,15,48,44,0,0,0,0
82711,6,75,4250,0,0,1600,100480,920,0,0,0,0,0,15,48,44,0,0,0,0
82712,6,75,4250,0,0,1600,100480,920,0,0,0,0,0,15,48,44,0,0,0,0
82713,6,75,4250,0,0,1600,100480,920,0,0,0,0,0,15,48,44,0,0,0,0
82714,0,75,4250,0,0,1600,100480,920,0,0,0,0,0,15,48,44,0,0,0,0
82715,0,75,4250,0,0,1600,100480,920,0,0,0,0,0,0,48,44,0,0,0,0
82716,0,75,4050,0,0,1600,100480,920,0,0,0,0,0,0,48,44,0,0,0,0
82717,0,70,3900,0,0,1600,100480,920,0,0,0,0,0,0,48,44,0,0,0,0
82718,0,70,3700,0,0,1600,100480,920,0,0,0,0,0,0,48,44,0,0,0,0
82719,0,70,3600,0,0,1600,100480,920,0,0,0,0,0,0,48,44,0,0,0,0
82720,0,70,3400,0,0,1600,100480,920,0,0,0,0,0,0,48,44,0,0,0,0
82721,0,70,3300,0,0,1600,100480,920,0,0,0,0,0,0,48,44,0,0,0,0
82722,0,70,3150,0,0,1600,100480,920,0,0,0,0,0,0,48,44,0,0,0,0
82723,0,70,3050,0,0,1600,100480,920,0,0,0,0,0,0,48,44,0,0,0,0
82724,6,85,0,0,0,1600,100480,920,0,0,0,0,0,0,48,44,0,0,0,0
82725,6,85,0,0,0,1600,100480,920,0,0,0,0,0,0,48,44,0,0,0,0
