version,4,4
counter,							engine_state,							temperature,							engine_rpm,							pump_vol,							radio_vol,							engine_vol,							pressure,							rc_input1,							rc_input2,							speed,							pump_st,							pump_rpm,							error_coe,							current,							tcu_temp,							ecu_temp,							thrust,							fuel_temp,							fuel_press,							combustion_press
67425,3,295,4950,2000,0,0,0,0,0,0,0,0,0,89,40,34,0,0,0,0
67429,3,315,5800,2000,0,0,0,0,0,0,0,0,0,83,40,34,0,0,0,0
67431,3,315,6050,2000,0,0,0,0,0,0,0,0,0,81,40,34,0,0,0,0
67433,3,315,6250,2000,0,0,0,0,0,0,0,0,0,80,40,34,0,0,0,0
67437,3,305,6700,2000,0,0,0,0,0,0,0,0,0,80,40,34,0,0,0,0
67439,3,300,7050,2000,0,0,0,0,0,0,0,0,0,80,40,34,0,0,0,0
71521,6,95,4300,0,0,0,0,0,0,0,0,0,0,16,38,42,0,0,0,0
71523,6,95,4300,0,0,0,0,0,0,0,0,0,0,16,38,42,0,0,0,0
71525,6,95,4300,0,0,0,0,0,0,0,0,0,0,16,38,42,0,0,0,0
71526,6,95,4300,0,0,1520,100500,920,0,0,0,0,0,16,38,42,0,0,0,0
71527,6,95,4300,0,0,1520,100500,920,0,0,0,0,0,16,38,42,0,0,0,0
71529,6,90,4300,0,0,1520,100500,920,0,0,0,0,0,16,38,42,0,0,0,0
71531,6,90,4300,0,0,1520,100500,920,0,0,0,0,0,16,38,42,0,0,0,0
71533,6,90,4300,0,0,0,0,0,0,0,0,0,0,16,38,42,0,0,0,0
71535,6,90,4300,0,0,0,0,0,0,0,0,0,0,16,38,42,0,0,0,0
75617,6,270,4150,0,0,0,0,0,0,0,0,0,0,15,66,42,0,0,0,0
75628,6,250,4450,0,0,1540,100410,1100,1510,0,0,0,0,15,66,42,0,0,0,0
75629,6,245,4450,0,0,1540,100410,1100,1510,0,0,0,0,15,68,42,0,0,0,0
75937,6,85,3150,0,0,0,0,0,0,0,0,0,0,10,80,42,0,0,0,0
75938,6,85,3200,0,0,1540,100420,1100,1510,0,0,0,0,10,80,42,0,0,0,0
75939,6,85,3200,0,0,1540,100420,1100,1510,0,0,0,0,9,80,42,0,0,0,0
75940,6,80,3250,0,0,1540,100420,1100,1510,0,0,0,0,9,80,42,0,0,0,0
75941,6,80,3250,0,0,1540,100420,1100,1510,0,0,0,0,10,80,42,0,0,0,0
75942,6,80,3300,0,0,1540,100420,1100,1510,0,0,0,0,10,80,42,0,0,0,0
75943,6,80,3300,0,0,1540,100420,1100,1510,0,0,0,0,10,80,42,0,0,0,0
75944,6,80,3350,0,0,1540,100420,1100,1510,0,0,0,0,10,80,42,0,0,0,0
75945,6,80,3350,0,0,1540,100420,1100,1510,0,0,0,0,11,80,42,0,0,0,0
75946,6,80,3400,0,0,1540,100420,1100,1510,0,0,0,0,11,80,42,0,0,0,0
75947,6,80,3400,0,0,1540,100420,1100,1510,0,0,0,0,11,80,42,0,0,0,0
75948,6,80,3450,0,0,1540,100420,1100,1510,0,0,0,0,11,80,42,0,0,0,0
75949,6,75,3450,0,0,1540,100420,1100,1510,0,0,0,0,12,80,42,0,0,0,0
75950,6,75,3500,0,0,1540,100420,1100,1510,0,0,0,0,12,80,42,0,0,0,0
75951,6,75,3550,0,0,1540,100420,1100,1510,0,0,0,0,12,80,42,0,0,0,0
75952,6,75,3550,0,0,1540,100420,1100,1510,0,0,0,0,12,80,42,0,0,0,0
75953,6,75,3550,0,0,1540,100420,1100,1510,0,0,0,0,11,80,42,0,0,0,0
75954,1,75,3550,0,0,1540,100420,1100,1510,0,0,0,0,11,80,42,0,0,0,0
75955,1,75,3600,0,0,1540,100420,1100,1510,0,0,0,0,0,80,42,0,0,0,0
75956,1,75,3450,0,0,1540,100420,1100,1510,0,0,0,0,0,80,42,0,0,0,0
75957,1,75,3300,0,0,1540,100420,1100,1510,0,0,0,0,0,80,42,0,0,0,0
75958,1,75,3150,0,0,1540,100420,1100,1510,0,0,0,0,0,80,42,0,0,0,0
75959,1,75,3000,0,0,1540,100420,1100,1510,0,0,0,0,0,80,42,0,0,0,0
75960,1,75,2850,0,0,1540,100420,1100,1510,0,0,0,0,0,80,42,0,0,0,0
75961,1,75,2750,0,0,1540,100420,1100,1510,0,0,0,0,0,80,42,0,0,0,0
75962,1,75,2600,0,0,1540,100420,1100,1510,0,0,0,0,0,80,42,0,0,0,0
75963,1,75,2500,0,0,1540,100420,1100,1510,0,0,0,0,0,80,42,0,0,0,0
75964,2,55,0,0,0,1660,66420,1100,2020,0,0,0,0,0,80,42,0,0,0,0
75965,2,55,0,0,0,1660,66420,1100,2020,0,0,0,0,4,78,38,0,0,0,0
75966,2,55,0,0,0,1660,66420,1100,2020,0,0,0,0,4,78,38,0,0,0,0
75967,2,55,0,0,0,1660,66420,1100,2020,0,0,0,0,12,78,38,0,0,0,0
75968,2,55,0,0,0,1660,66420,1100,2020,0,0,0,0,12,78,38,0,0,0,0
75969,2,55,1100,0,0,1660,66420,1100,2020,0,0,0,0,19,78,38,0,0,0,0
75970,2,55,1500,0,0,1660,66420,1100,2020,0,0,0,0,19,78,38,0,0,0,0
75971,2,55,1850,0,0,1660,66420,1100,2020,0,0,0,0,17,78,38,0,0,0,0
75972,2,55,2150,0,0,1660,66420,1100,2020,0,0,0,0,17,78,38,0,0,0,0
75973,2,55,2400,0,0,1660,66420,1100,2020,0,0,0,0,14,78,38,0,0,0,0
75974,2,55,2600,0,0,1660,66420,1100,2020,0,0,0,0,14,78,38,0,0,0,0
75975,2,55,2700,0,0,1660,66420,1100,2020,0,0,0,0,85,78,38,0,0,0,0
75976,2,55,2800,0,0,1640,66420,1100,2020,0,0,0,0,85,78,38,0,0,0,0
